station,year,particle_number,type,lat,lon
SE0012R,2013,1325.909126541788,PSD,58.8,17.8333
BE0007R,2014,1922.906599782582,PSD,50.304003,6.001271
BG0001R,2014,472.4083890857096,PSD,24.166667,23.583333
CZ0003R,2014,2006.9287643874115,PSD,49.583333,15.083333
DE0003R,2014,1225.194189211858,PSD,47.914722,7.908611
DE0054R,2014,490.373016338266,PSD,47.416667,10.981667
DE0055B,2014,2987.8858254010165,PSD,51.3525,12.4346
DE0056R,2014,3560.017214913232,PSD,52.998055,7.9425
DE0061B,2014,5483.093018100267,PSD,50.571667,12.998889
DE0063K,2014,6483.360839473755,PSD,51.06,13.74
DE0064B,2014,4898.973954760371,PSD,51.036111,13.730556
DE0066K,2014,8202.37012522265,PSD,51.345833,12.406389
DE0067K,2014,6853.1714778471,PSD,51.344167,12.377222
DE0068B,2014,3806.943717813916,PSD,51.318056,12.2975
FR0019R,2014,11.5398181888784,PSD,42.936667,0.141944
FR0020R,2014,3223.302086272258,PSD,48.708611,2.158889
FR0022R,2014,1352.8917519880602,PSD,48.5622222222,5.50555555556
GR0100B,2014,81.04389008179648,PSD,37.9949989319,23.8159999847
IT0004R,2014,4508.578366558857,PSD,45.8,8.633333
MT0001R,2014,112817.40698593888,PSD,36.0722,14.2184
NL0011R,2014,4422.159837450845,PSD,51.970278,4.926389
NO0002R,2014,34.97423254264256,PSD,58.38853,8.252
NO0059G,2014,195.6449167804266,PSD,-72.0117,2.5351
SE0011R,2014,1306.0149266469932,PSD,56.016667,13.15
SE0012R,2014,1163.2425200181096,PSD,58.8,17.8333
BE0007R,2015,1691.018753516544,PSD,50.304003,6.001271
BG0001R,2015,521.7250542180723,PSD,24.166667,23.583333
CZ0003R,2015,2159.566764286779,PSD,49.583333,15.083333
DE0003R,2015,1296.8998643292323,PSD,47.914722,7.908611
DE0054R,2015,731.5333434576211,PSD,47.416667,10.981667
DE0055B,2015,3012.0667166432395,PSD,51.3525,12.4346
DE0061B,2015,5452.812355979037,PSD,50.571667,12.998889
DE0063K,2015,6890.304232013906,PSD,51.06,13.74
DE0064B,2015,4478.758467891577,PSD,51.036111,13.730556
DE0066K,2015,8617.493821127528,PSD,51.345833,12.406389
DE0067K,2015,6858.398151875569,PSD,51.344167,12.377222
DE0068B,2015,4037.083742692689,PSD,51.318056,12.2975
ES1778R,2015,2492.0803704113014,PSD,41.766667,2.35
FR0019R,2015,6.876030405532595,PSD,42.936667,0.141944
FR0020R,2015,3486.799769560198,PSD,48.708611,2.158889
FR0022R,2015,1531.548709146893,PSD,48.5622222222,5.50555555556
GR0100B,2015,153.3927694163361,PSD,37.9949989319,23.8159999847
IT0015U,2015,4550.939926604638,PSD,40.3358,18.1245
LT0015R,2015,1328.848996646191,PSD,55.3761111111,21.0305555556
NL0011R,2015,5062.802761534316,PSD,51.970278,4.926389
NO0002R,2015,40.89488810594515,PSD,58.38853,8.252
NO0059G,2015,172.11584289383543,PSD,-72.0117,2.5351
SE0011R,2015,7694.603045128187,PSD,56.016667,13.15
SE0012R,2015,1241.941255751382,PSD,58.8,17.8333
BG0001R,2016,487.1695932920116,PSD,24.166667,23.583333
DE0044R,2016,3602.606619653589,PSD,51.53,12.93
DE0054R,2016,707.417776505758,PSD,47.416667,10.981667
DE0055B,2016,2978.3083178443903,PSD,51.3525,12.4346
DE0060G,2016,1.2535979048843486,PSD,-70.666,-8.266
DE0061B,2016,5237.449603608131,PSD,50.571667,12.998889
DE0064B,2016,4568.3523700486285,PSD,51.036111,13.730556
DE0066K,2016,7920.548421376699,PSD,51.345833,12.406389
DE0067K,2016,8316.035607281898,PSD,51.344167,12.377222
DE0068B,2016,4749.041894193234,PSD,51.318056,12.2975
DE0069B,2016,8001.732968699061,PSD,51.453459,6.86506
ES0100R,2016,4067.145541076772,PSD,37.1,-6.733333
ES1778R,2016,57.78886226915036,PSD,41.766667,2.35
FR0022R,2016,1548.951023851881,PSD,48.5622222222,5.50555555556
GR0101R,2016,1565.239433389376,PSD,37.984265,22.196262
IT0015U,2016,4207.339639746837,PSD,40.3358,18.1245
NO0002R,2016,561.9504886287655,PSD,58.38853,8.252
NO0042G,2016,89.8761156373092,PSD,78.90715,11.88668
NO0059G,2016,222.4453957272504,PSD,-72.0117,2.5351
SE0012R,2016,1182.61154597402,PSD,58.8,17.8333
BG0001R,2017,867.3684695678483,PSD,24.166667,23.583333
CZ0003R,2017,1726.3483379393283,PSD,49.583333,15.083333
DE0044R,2017,3763.654049323673,PSD,51.53,12.93
DE0054R,2017,792.4574752595616,PSD,47.416667,10.981667
DE0055B,2017,3654.121193481703,PSD,51.3525,12.4346
DE0061B,2017,4028.137973954966,PSD,50.571667,12.998889
DE0066K,2017,6983.299724310776,PSD,51.345833,12.406389
DE0067K,2017,4085.269808314973,PSD,51.344167,12.377222
DE0069B,2017,6593.369442075086,PSD,51.453459,6.86506
DE0070R,2017,3386.999121166382,PSD,50.603222,13.465583
ES0100R,2017,3380.8009408403564,PSD,37.1,-6.733333
ES1778R,2017,63.912395818575725,PSD,41.766667,2.35
FR0020R,2017,4231.58596190562,PSD,48.708611,2.158889
FR0022R,2017,1207.316609368244,PSD,48.5622222222,5.50555555556
FR0026R,2017,817.3414286942004,PSD,-21.079449,55.383006
GR0002R,2017,1755.564069448631,PSD,35.316667,25.666667
IT0015U,2017,5299.469588716195,PSD,40.3358,18.1245
SE0011R,2017,1335.5849520773031,PSD,56.016667,13.15
SE0012R,2017,1356.8029128685737,PSD,58.8,17.8333
BG0001R,2018,307.5495068552204,PSD,24.166667,23.583333
CH0001G,2018,175.66258945261396,PSD,46.5475,7.985
CZ0003R,2018,2005.1033168058027,PSD,49.583333,15.083333
DE0044R,2018,3952.353485987424,PSD,51.53,12.93
DE0061B,2018,4091.233467836432,PSD,50.571667,12.998889
DE0066K,2018,8511.44993410299,PSD,51.345833,12.406389
DE0069B,2018,8423.790899060523,PSD,51.453459,6.86506
FR0022R,2018,926.8001162663212,PSD,48.5622222222,5.50555555556
GR0002R,2018,1518.1693759846144,PSD,35.316667,25.666667
IT0015U,2018,4737.994021562458,PSD,40.3358,18.1245
BG0001R,2019,1204.345837750376,PSD,24.166667,23.583333
DE0061B,2019,3736.158849847361,PSD,50.571667,12.998889
DE0066K,2019,9096.877843123835,PSD,51.345833,12.406389
DE0069B,2019,7095.2869204256585,PSD,51.453459,6.86506
FR0020R,2019,3565.4610249477514,PSD,48.708611,2.158889
FR0022R,2019,1758.7968894938265,PSD,48.5622222222,5.50555555556
IT0015U,2019,4794.129925748568,PSD,40.3358,18.1245
DE0069B,2020,6578.345390516954,PSD,51.453459,6.86506
IE0010U,2020,3711.9880199047607,PSD,53.309,-6.223
IE0031R,2020,651.2666539394044,PSD,53.32583,-9.89944
IT0015U,2020,4314.311542562048,PSD,40.3358,18.1245
IE0031R,2021,622.920382090084,PSD,53.32583,-9.89944
IT0015U,2021,4469.279371279828,PSD,40.3358,18.1245
CH0001G,2000,800.5916386890488,PNC,46.5475,7.985
DE0043G,2000,5632.620126705653,PNC,47.8,11.016667
DE0060G,2000,411.56339432324654,PNC,-70.666,-8.266
FI0096G,2000,840.8409621552277,PNC,67.973333333,24.116111111
IE0031R,2000,4908.029530201342,PNC,53.32583,-9.89944
US0008R,2000,194.03631296449217,PNC,71.32301,-156.61147
US0035R,2000,5745.230090650792,PNC,40.049999,-88.366669
US1200R,2000,586.1860289680145,PNC,19.53623,-155.576157
US6002C,2000,4849.231961237169,PNC,36.605,-97.484999
US6004G,2000,196.6491859329209,PNC,-89.996948,-24.799999
US9050R,2000,2754.5358032962613,PNC,40.445,-106.744003
CH0001G,2001,480.8516732787121,PNC,46.5475,7.985
DE0043G,2001,4612.7041120767935,PNC,47.8,11.016667
FI0096G,2001,833.7060255387072,PNC,67.973333333,24.116111111
US0008R,2001,232.1809285389167,PNC,71.32301,-156.61147
US0035R,2001,5359.887689177159,PNC,40.049999,-88.366669
US1200R,2001,523.2723349317595,PNC,19.53623,-155.576157
US6002C,2001,5189.566036452353,PNC,36.605,-97.484999
US6004G,2001,192.6704803719008,PNC,-89.996948,-24.799999
US9050R,2001,3677.71608254759,PNC,40.445,-106.744003
CH0001G,2002,474.1323516140229,PNC,46.5475,7.985
DE0043G,2002,3431.366383567055,PNC,47.8,11.016667
FI0096G,2002,740.8935410151552,PNC,67.973333333,24.116111111
US0035R,2002,6112.8460958697615,PNC,40.049999,-88.366669
US1200R,2002,487.89690045698393,PNC,19.53623,-155.576157
US6002C,2002,4630.015922011335,PNC,36.605,-97.484999
US6004G,2002,202.85654250238773,PNC,-89.996948,-24.799999
US6005G,2002,1141.2033715676052,PNC,41.0541,-124.151001
US9050R,2002,3893.4180099987807,PNC,40.445,-106.744003
CH0001G,2003,582.8146031378113,PNC,46.5475,7.985
DE0043G,2003,3711.226804123711,PNC,47.8,11.016667
FI0096G,2003,767.650888967385,PNC,67.973333333,24.116111111
US0035R,2003,5762.634394589245,PNC,40.049999,-88.366669
US1200R,2003,432.15861239221977,PNC,19.53623,-155.576157
US6002C,2003,4682.579650759116,PNC,36.605,-97.484999
US6004G,2003,62.84251393188854,PNC,-89.996948,-24.799999
US6005G,2003,825.650622504111,PNC,41.0541,-124.151001
US9050R,2003,3536.97376796105,PNC,40.445,-106.744003
CA0420G,2004,212.69853466090552,PNC,82.4991455078,-62.3415260315
CH0001G,2004,491.2562489385124,PNC,46.5475,7.985
DE0043G,2004,3467.294511693501,PNC,47.8,11.016667
FI0096G,2004,799.0745654162855,PNC,67.973333333,24.116111111
IE0031R,2004,1550.1544968833482,PNC,53.32583,-9.89944
US0008R,2004,275.20365075312736,PNC,71.32301,-156.61147
US0035R,2004,5274.922366863905,PNC,40.049999,-88.366669
US1200R,2004,467.7099266891223,PNC,19.53623,-155.576157
US6001R,2004,272.0592229484386,PNC,-14.2466,-170.5637
US6002C,2004,4740.787114020428,PNC,36.605,-97.484999
US6004G,2004,130.28294609665429,PNC,-89.996948,-24.799999
US6005G,2004,695.6986606102959,PNC,41.0541,-124.151001
US9050R,2004,3258.5685318752912,PNC,40.445,-106.744003
CA0420G,2005,188.33914764079148,PNC,82.4991455078,-62.3415260315
CH0001G,2005,503.618799535304,PNC,46.5475,7.985
DE0043G,2005,3426.6199917954327,PNC,47.8,11.016667
DE0060G,2005,358.03779513888884,PNC,-70.666,-8.266
FI0050R,2005,2422.45412708883,PNC,61.85,24.283333
FI0096G,2005,938.545642958412,PNC,67.973333333,24.116111111
FR0030R,2005,2192.345138081396,PNC,45.772223,2.964886
IE0031R,2005,1804.056851311953,PNC,53.32583,-9.89944
PR0100C,2005,1104.8378433073142,PNC,18.381065,-65.617752
US0008R,2005,171.74226415094338,PNC,71.32301,-156.61147
US0035R,2005,5871.621004746836,PNC,40.049999,-88.366669
US1200R,2005,463.5616218236173,PNC,19.53623,-155.576157
US6001R,2005,333.02594252163163,PNC,-14.2466,-170.5637
US6002C,2005,4505.6117468515085,PNC,36.605,-97.484999
